count,title,dept_name
23,Staff,Customer Service
11,Assistant Engineer,Development
53,Senior Engineer,Quality Management
2,Staff,Development
20,Staff,Research
3,Engineer,Customer Service
78,Senior Staff,Human Resources
3,Technique Leader,Customer Service
17,Assistant Engineer,Production
32,Technique Leader,Production
1,Staff,Production
187,Senior Staff,Sales
99,Engineer,Development
2,Technique Leader,Research
12,Senior Engineer,Customer Service
6,Senior Staff,Production
19,Staff,Human Resources
31,Technique Leader,Development
9,Senior Staff,Development
62,Senior Staff,Research
59,Engineer,Production
23,Engineer,Quality Management
13,Senior Engineer,Research
6,Engineer,Research
244,Senior Engineer,Development
9,Technique Leader,Quality Management
96,Senior Staff,Marketing
79,Senior Staff,Customer Service
12,Staff,Finance
207,Senior Engineer,Production
52,Senior Staff,Finance
1,Assistant Engineer,Quality Management
21,Staff,Marketing
57,Staff,Sales
